Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Tampa Bay Lightning*,27,78,59,15,4,122,0.782,303,211,6,1,1.19,-0.06,6.59,220,169,73,256,28.52,39,257,84.82,10,3,9.5,9.5,2519,12,2501,0.916,6
2,Boston Bruins*,28.7,78,47,22,9,103,0.66,242,198,2,3,0.53,-0.02,5.64,171,140,65,242,26.86,44,232,81.03,6,14,9.5,10,2550,9.5,2306,0.914,8
3,Calgary Flames*,27.6,78,48,23,7,103,0.66,275,212,0,4,0.71,-0.04,6.24,204,156,53,260,20.38,49,238,79.41,18,7,8.7,9.8,2541,10.8,2205,0.904,3
4,Washington Capitals*,28.7,79,47,24,8,102,0.646,269,239,4,1,0.4,-0.01,6.43,215,181,49,231,21.21,54,257,78.99,5,4,9.1,8.8,2402,11.2,2492,0.904,4
5,New York Islanders*,28.4,79,46,26,7,99,0.627,218,188,4,5,0.35,-0.02,5.14,180,144,32,219,14.61,43,213,79.81,6,1,8,7.8,2271,9.6,2437,0.923,10
6,Toronto Maple Leafs,27.5,78,45,26,7,97,0.622,277,236,0,1,0.48,-0.04,6.58,227,190,45,201,22.39,38,195,80.51,5,8,6.2,6.8,2595,10.7,2573,0.908,3
7,San Jose Sharks*,29.3,78,44,25,9,97,0.622,276,245,0,3,0.31,-0.05,6.68,211,193,56,231,24.24,45,221,79.64,9,7,9,9.5,2601,10.6,2214,0.889,5
8,Pittsburgh Penguins,28.4,78,42,25,11,95,0.609,260,228,2,3,0.41,0.01,6.26,194,172,54,217,24.88,42,217,80.65,12,14,8.6,7.8,2578,10.1,2601,0.912,7
9,Nashville Predators*,28.8,79,44,29,6,94,0.595,225,206,4,2,0.27,0.01,5.46,185,155,32,249,12.85,43,244,82.38,8,8,8.5,9.6,2559,8.8,2367,0.913,7
10,Winnipeg Jets*,26.5,78,45,29,4,94,0.603,259,230,2,1,0.37,-0.01,6.27,189,173,61,239,25.52,50,238,78.99,9,7,9.3,8.7,2418,10.7,2626,0.912,3
11,Carolina Hurricanes,26.7,78,43,28,7,93,0.596,231,213,2,2,0.23,0,5.69,182,163,41,240,17.08,42,230,81.74,8,8,7.6,8.7,2694,8.6,2223,0.904,6
12,Montreal Canadiens,27.8,79,42,29,8,92,0.582,236,227,2,0,0.12,-0.02,5.86,202,177,29,230,12.61,46,239,80.75,5,4,8.6,8.4,2668,8.8,2444,0.907,4
13,St. Louis Blues*,27.9,78,42,28,8,92,0.59,230,210,1,2,0.24,0,5.64,180,162,46,226,20.35,41,222,81.53,4,7,7.7,8.4,2466,9.3,2227,0.906,9
14,Columbus Blue Jackets,26.6,78,44,30,4,92,0.59,242,221,1,1,0.28,0.01,5.94,202,185,32,213,15.02,30,198,84.85,8,6,6.5,6.9,2454,9.9,2296,0.904,8
15,Vegas Golden Knights*,29.1,79,42,30,7,91,0.576,240,218,3,2,0.26,-0.03,5.8,191,173,39,227,17.18,43,223,80.72,10,2,7.2,7.3,2714,8.8,2307,0.906,9
