Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Final Standing
3,Carolina Hurricanes*,29.2,82,52,22,8,112,0.683,286,258,8,2,0.29,-0.13,6.63,174,163,95,531,17.89,81,445,81.8,17,13,13.5,16.2,2553,11.2,2497,0.897,4,0
4,Anaheim Ducks*,28.5,82,48,20,14,110,0.671,254,198,4,10,0.67,0.06,5.51,161,133,89,398,22.36,61,410,85.12,4,4,17.8,17.8,2582,9.8,2248,0.912,5,0
1,Detroit Red Wings*,32.1,82,54,21,7,115,0.701,252,179,5,5,0.93,0.04,5.26,166,115,81,391,20.72,57,357,84.03,5,7,11.4,12.7,2820,8.9,1930,0.907,9,0
9,Pittsburgh Penguins*,26.6,82,45,28,9,99,0.604,258,233,6,6,0.28,-0.02,5.99,189,160,62,360,17.22,60,347,82.71,7,13,13.6,14.2,2381,10.8,2484,0.906,4,0
3,Chicago Blackhawks*,26.6,82,52,22,8,112,0.683,262,203,9,6,0.77,0.02,5.67,197,159,52,294,17.69,40,266,84.96,13,4,11.3,11.7,2798,9.4,2058,0.901,11,0
7,Boston Bruins*,28.3,82,46,25,11,103,0.628,244,189,2,6,0.56,-0.07,5.28,190,138,43,266,16.17,46,265,82.64,11,5,13.6,13.8,2696,9.1,2682,0.93,11,0
13,Los Angeles Kings*,26.7,82,40,27,15,95,0.579,188,170,6,9,0.19,0.01,4.37,130,130,49,289,16.96,38,293,87.03,9,2,11.3,11.1,2509,7.5,2248,0.924,11,0
1,Chicago Blackhawks*,26.8,48,36,7,5,77,0.802,149,97,6,5,1.04,-0.07,5.13,119,74,25,150,16.67,18,141,87.23,5,5,9.2,10,1494,10,1258,0.923,7,0
10,Los Angeles Kings*,27.4,82,46,28,8,100,0.61,198,168,8,6,0.4,0.01,4.46,150,112,43,284,15.14,50,296,83.11,5,6,10.7,11.1,2595,7.6,2148,0.922,13,0
7,Chicago Blackhawks*,29.3,82,48,28,6,102,0.622,220,186,9,3,0.51,0.02,4.95,171,144,46,260,17.69,35,211,83.41,3,7,7.3,8.8,2777,7.9,2477,0.925,5,0
